index,paper_id,title,year,pdf_link,extracted_method,extracted_datasets,extracted_metrics,extracted_results,extracted_novelty,extracted_limitations,evidence_pages,evidence_spans,eval_datasets_accurate (Yes/No/Partial),eval_metrics_accurate (Yes/No/Partial),eval_results_accurate (Yes/No/Partial),eval_attribution_correct (OWN/CITED/MIXED),eval_novelty_soundness (1-5),eval_hallucination_flag (Yes/No),eval_notes
1,e9ed347f829b6270a74df9f3a6b20e29361549c8,A Survey on Large Language Model Benchmarks,2025,file:///D:/Downloads/researchgpt-pipeline-claude-code-verification/researchgpt-pipeline-claude-code-verification/data_50/pdfs/e9ed347f829b6270a74df9f3a6b20e29361549c8.pdf,"The authors conduct a systematic literature review and categorization of representative LLM benchmarks. They construct a taxonomy classifying benchmarks by their primary evaluation focus, spanning linguistic capabilities, knowledge retrieval, reasoning, and domain-specific tasks. Reasoning benchmarks are further categorized into logical, specialized/commonsense, and applied/contextual reasoning, while domain-specific benchmarks are analyzed across the natural sciences, humanities, and social sciences. The survey evaluates these benchmarks based on their data sources (e.g., standardized exams), evaluation methodologies (e.g., automated evaluation, LLM-based judges, multiple-choice QA), and metrics.",Standardized Exams (Std. Exams) in Natural Sciences; Logical Reasoning benchmarks; Specialized and Commonsense Reasoning benchmarks (including mathematics); Applied and Contextual Reasoning benchmarks; Multilingual Open Datasets,,,"The paper claims to provide a comprehensive taxonomy and critical survey of the LLM benchmarking landscape. It uniquely categorizes benchmarks across multiple dimensions—including linguistic evolution, knowledge retrieval, logical/commonsense/applied reasoning, and natural/social sciences—while tracing their evolutionary timelines and methodological underpinnings.","The provided text does not explicitly state specific limitations of the survey itself. However, inherent limitations of such a survey include the rapid obsolescence of literature in the fast-moving LLM field, and a potential bias toward English-centric or standardized exam-based benchmarks which may not fully capture real-world LLM utility.","p25, p7, p13, p15, p18","[datasets @ p.p15] Table 4: Summary of representative benchmarks in the Natural Sciences. || [datasets @ p.p18] This requires LLMs to memorize concise statutes, apply them appropriately, and respond with clear and logical reasoning. || [datasets @ p.p13] Specialized and Commonsense Reasoning: This category covers benchmarks that evaluate reason- ing in specialized domains like mathematics and broader commonsense understanding. || [datasets @ p.p13] Applied and Contextual Reasoning: These benchmarks assess how well LLMs can apply their reasoning skills to complex, multi-step tasks that often mirror real-world scenarios.",,,,,,,
2,068ff3def994d1424832e1f56ed72ef8245a42f0,Inadequacies of Large Language Model Benchmarks in the Era of Generative Artificial Intelligence,2024,file:///D:/Downloads/researchgpt-pipeline-claude-code-verification/researchgpt-pipeline-claude-code-verification/data_50/pdfs/068ff3def994d1424832e1f56ed72ef8245a42f0.pdf,"The authors conduct a systematic review and meta-evaluation of 23 major LLM benchmarking frameworks published chronologically. They establish a structured taxonomy to categorize benchmark inadequacies, focusing specifically on response variability, implementation inconsistency, and evaluation biases. Each of the 23 frameworks is rigorously analyzed and coded based on whether these inadequacies are present and unacknowledged, acknowledged but unresolved, or fully resolved. The analysis specifically examines how variations in execution, such as few-shot learning setups and chain-of-thought prompting, impact benchmark reliability across different research teams.",,,,"The paper provides the first comprehensive, quantitative meta-evaluation of the prevalence of critical flaws across 23 major LLM benchmarks, exposing widespread, unacknowledged issues in implementation consistency and evaluation bias that previous works treated as isolated incidents.","The study is limited to a meta-evaluation of 23 selected benchmarking frameworks and does not empirically test a newly proposed, fully standardized benchmark to resolve all the identified inadequacies.",,,,,,,,,
3,ef62f95c16f668f031d649799cbd79081c6d2b0f,A Careful Examination of Large Language Model Performance on Grade School Arithmetic,2024,file:///D:/Downloads/researchgpt-pipeline-claude-code-verification/researchgpt-pipeline-claude-code-verification/data_50/pdfs/ef62f95c16f668f031d649799cbd79081c6d2b0f.pdf,"The authors created GSM1k, a new dataset of 1,205 grade-school arithmetic problems. To ensure comparability, they instructed annotators to write problems matching the difficulty distribution (number of steps) of GSM8k, and then filtered the generated problems to match GSM8k's answer magnitude distribution. They validated the dataset's similarity using a human distinguishability test where 19 annotators (uninvolved in creation) attempted to identify one GSM1k problem out of a set of five (four from GSM8k) across 1,205 attempts. Finally, they evaluated multiple LLMs (including the Claude and Llama families) on both datasets, measuring accuracy and sequence-level log-likelihood on the GSM8k test set to analyze overfitting and potential data leakage.",GSM8k; GSM1k,,,"The paper introduces GSM1k, the first structurally and difficulty-matched alternative to the GSM8k benchmark designed specifically to detect and quantify dataset contamination and overfitting in LLM mathematical reasoning.","The authors note that GSM1k is slightly easier than GSM8k, as evidenced by some models (like Claude) performing slightly better on it. Additionally, the dataset size (1,205 problems) is relatively small, and the analysis relies on sequence-level log-likelihood as a proxy for data leakage, which may not capture all forms of indirect contamination or advanced overfitting.","p41, p19, p20, p18","[datasets @ p.p19] In total, this dataset paid out around $180,000 dollars to human annotators, including costs resulting from problem creation and solving, quality assurance checks, as well as experiments done to compare the difficulty distribution with GSM8k. || [datasets @ p.p18] GSM1k is yet unreleased, with a future release date. || [metrics @ p.p20] accuracy but it is crucial to check your work! || [metrics @ p.p41] Figure 14: Models from the most overfit families arranged by their drop in performance between GSM8k and GSM1k (lower is worse) on the first ablation prompt with GSM8k examples in the alternative format.",,,,,,,
4,3a29dc29c338a7a2ee22a2438982e93dbe58fa75,PHYBench: Holistic Evaluation of Physical Perception and Reasoning in Large Language Models,2025,file:///D:/Downloads/researchgpt-pipeline-claude-code-verification/researchgpt-pipeline-claude-code-verification/data_50/pdfs/3a29dc29c338a7a2ee22a2438982e93dbe58fa75.pdf,"The authors develop PHYBench, a benchmark evaluating physical perception (PP) and reasoning (RR). They evaluate multiple LLMs (including OpenAI's o-series with high reasoning effort) under various experimental configurations: an ""Original"" setting (solving without a trace), a ""Correct"" setting (given a correct partial trace), and six different perturbation types (T1–T6). The evaluation framework categorizes errors at the first mistake into PP or RR, and further classifies RR errors into semantic (Sem) or symbolic (Sym) reasoning. They introduce and compute metrics including Expected Error Distance (EED) metrics (SEED, σEED, CVEED) alongside standard accuracy (σACC, CVACC) to assess model ranking stability and sampling efficiency under different penalty parameters and subtree discounting settings.",MATH-500; AIME 2024; OlympiadBench; GPQA,Accuracy Standard Deviation (σACC),,"The paper claims the creation of PHYBench, the first holistic benchmark specifically designed to decouple and evaluate physical perception and reasoning in LLMs, introducing a fine-grained error taxonomy (PP vs. RR, Sem vs. Sym) and robust evaluation metrics like EED to measure model performance boundaries and sampling efficiency.","The authors note that some model ranking fluctuations occur when pairwise confidence margins are low (below 70%). Additionally, the evaluation relies on specific perturbation types (T1-T6) and trace settings which may not capture all aspects of real-world physical interaction, and the exact physical scenarios tested are constrained by the benchmark's dataset design.","p24, p7, p3, p9","[datasets @ p.p3] MATH-500 [13] 500 1857 97.3 Binary GPQA [24] 448 6308 71.5 Binary OlympiadBench [10] 8K 5372 58.7 Binary AIME 2024 [11] 30 7741 79.8 Binary PHYBench (Ours) 500 10636 25.0 Detailed || [datasets @ p.p3] Some benchmarks, such as OlympiadBench [10] and AIME 2024, use expression or number-based binary scoring, which enforces answer format consistency but overlooks partial correctness. || [datasets @ p.p3] Some benchmarks, such as OlympiadBench [10] and AIME 2024, use expression or number-based binary scoring, which enforces answer format consistency but overlooks partial correctness. || [datasets @ p.p3] choice or simple numerical answers, as in SuperGPQA [7] and MMLU [4].",,,,,,,
5,00e4098e8cba9fb2342109ba3028294c8b687c03,Mathematical Reasoning in Large Language Models: Assessing Logical and Arithmetic Errors across Wide Numerical Ranges,2025,file:///D:/Downloads/researchgpt-pipeline-claude-code-verification/researchgpt-pipeline-claude-code-verification/data_50/pdfs/00e4098e8cba9fb2342109ba3028294c8b687c03.pdf,"The authors develop 'GSM-Ranges', a tool using Python templates to systematically perturb the numerical values of base problems from the GSM8K dataset. They define six levels of perturbation: Level 1 (same-digit replacement), Level 2 (100–1,000), Level 3 (1,000–10,000), Level 4 (10,000–100,000), Level 5 (100,000–1,000,000), and Level 6 (1,000,000–10,000,000). They evaluate LLMs on these perturbed datasets across different sampling sizes (1, 8, 32, 48) to measure recall rates. To dissect the failures, they track logical vs. non-logical error rates, measure mean token counts (specifically for o3-mini), and perform a manual error analysis on 100 random samples across Levels 4, 5, and 6 to detect 'Number-Copy Errors' and standalone arithmetic errors.",GSM8K; SVAMP; MATH,Recall rate; Logical error rate; Non-logical error rate,,"The paper introduces 'GSM-Ranges', the first systematic framework to isolate the effect of numerical scale on LLM mathematical reasoning by perturbing GSM8K problems across six distinct magnitude levels. It provides the first detailed decomposition of how numerical scale specifically triggers both logical and arithmetic errors, exposing a critical 'Number-Copy Error' vulnerability in state-of-the-art models.","The study is primarily based on perturbing the GSM8K dataset, meaning the findings might not fully generalize to other types of mathematical reasoning found in more advanced datasets like MATH. Additionally, the manual error analysis of logical vs. non-logical errors and 'Number-Copy Errors' is conducted on a relatively small sample size of 100 random samples per model for Levels 4-6. The paper also does not propose a direct algorithmic mitigation or training methodology to resolve the identified numerical sensitivity.","p7, p5, p2, p3",[datasets @ p.p3] Current research applying perturbations to widely used benchmarks like GSM8K involve basic arithmetic; || [datasets @ p.p3] GSM8K SVAMP MATH x = 1000 || [datasets @ p.p2] Evaluation of Mathematical Correctness. || [metrics @ p.p7] Recall Rate,,,,,,,
6,78dfdc412030122e5bc456b5ca7d23f9bb7dd3a2,Can Multimodal Large Language Models Understand Spatial Relations?,2025,file:///D:/Downloads/researchgpt-pipeline-claude-code-verification/researchgpt-pipeline-claude-code-verification/data_50/pdfs/78dfdc412030122e5bc456b5ca7d23f9bb7dd3a2.pdf,"The authors construct the SpatialMQA benchmark using a defined Spatial Coordinate System (SCS) that maps subjects and objects across three axes: X-axis (left/right), Y-axis (in front of/behind), and Z-axis (above/below). The benchmark features multiple-choice questions categorized into three perspective types: out-of-image (objective reference), first-person, and third-person. The evaluation pipeline tests both open-source and closed-source MLLMs using specific task prompts and instruction data formats. To control for textual bias and evaluate reasoning depth, the authors test models under zero-shot and few-shot In-Context Learning (ICL) settings, and compare performance with and without input images to measure the reliance on prior knowledge.",SpatialMQA,"Accuracy by question perspective (Q1: out-of-image, Q2: first-person, Q3: third-person)",,"The paper introduces SpatialMQA, a novel spatial relation reasoning benchmark that systematically decouples spatial coordinate axes (X, Y, Z) and perspective viewpoints (out-of-image, first-person, third-person) to rigorously evaluate MLLMs' 3D spatial comprehension without relying on prior textual knowledge.","The benchmark relies on a structured coordinate-based setup which may not fully capture the complexity and ambiguity of natural, highly cluttered real-world scenes. Additionally, the evaluation is restricted to multiple-choice question answering (MQA), which might not fully reflect a model's generative or interactive spatial reasoning capabilities in open-ended environments.","p1, p3","[datasets @ p.p1] SpatialMQA || [metrics @ p.p3] Accuracy by question perspective (Q1: out-of-image, Q2: first-person, Q3: third-person)",,,,,,,
7,57325c05c714bb045339f6edafea3237ef84c5eb,Multimodal Large Language Models Meet Multimodal Emotion Recognition and Reasoning: A Survey,2025,file:///D:/Downloads/researchgpt-pipeline-claude-code-verification/researchgpt-pipeline-claude-code-verification/data_50/pdfs/57325c05c714bb045339f6edafea3237ef84c5eb.pdf,"The authors systematically evaluate and compare open-source and closed-source MLLMs (including specialized variants like Emotion-LLaMA and frontier APIs) across a wide array of emotional intelligence benchmarks. The evaluation spans zero-shot, instruction-tuned, and fine-tuned configurations to measure recognition accuracy, reasoning quality, and chain-of-thought performance. To analyze physical robustness, the models are tested on MOSABench across three distinct object distances: interlap, close, and far. Additionally, the study assesses cross-lingual emotional understanding (English vs. Chinese) across complex emotional dimensions, personal beliefs, perspective-taking, and emotional cues using EmoBench.",DFEW; MOSABench; MER2023; MER2024; MELD; IEMOCAP; CMU-MOSI; CMU-MOSEI; CH-SIMS (v1/v2); OV-MERD+; MME-Emotion; EmoBench,Chain-of-Thought score (CoT-S); Recall,,"The paper provides the first systematic, multi-benchmark evaluation of MLLMs on both multimodal emotion recognition and emotional reasoning, explicitly identifying the performance trade-offs between zero-shot general models, instruction-tuned affect models, and specialized video-centric baselines.","The authors explicitly identify that open-source MLLMs suffer from severe performance degradation at longer distances due to coarse visual tokenization that attenuates micro-expressions. Closed-source models also struggle to recover fine-grained affect at a distance, despite better attention budgeting. Additionally, the paper notes a persistent architectural gap where high verbal reasoning capacity does not translate to superior visual grounding, indicating limitations in current MLLM connectors and temporal encoders.","p32, p11, p16, p15, p35, p22, p20, p34, p33","[datasets @ p.p16] HUMAINE [32] 1 Video, Audio, Text ✓ ✗ ✗ ✗ ✗ VAM [40] 1 Video, Audio ✓ ✗ ✗ ✗ ✗ Youtube [97] 1 Video, Audio, Text ✓ ✗ ✗ ✗ ✗ AFEW [30] 1 Video, Audio ✓ ✗ ✗ ✗ ✗ AM-FED [93] 1 Video ✓ ✗ ✗ ✗ ✗ AFEW-VA [31] 1 Video, Audio ✓ ✗ ✗ ✗ ✗ LIRIS-ACCEDE [9] 1 Video, Text ✓ ✗ ✗ ✗ ✗ EMILYA [36] 1 Video, Text ✓ ✗ ✗ ✗ ✗ SEWA [55] 1 Video, Audio ✓ ✗ ✗ ✗ ✗ CMU-MOSEI [155] 2 Video, Audio, Text ✓ ✗ ✗ ✗ ✗ iMiGUE [89] 1 Vi || [datasets @ p.p33] MOSABench: Multi-Object Sentiment Analysis Benchmark for Evaluating Multimodal Large Language Models Understanding of Complex Image. || [datasets @ p.p16] HUMAINE [32] 1 Video, Audio, Text ✓ ✗ ✗ ✗ ✗ VAM [40] 1 Video, Audio ✓ ✗ ✗ ✗ ✗ Youtube [97] 1 Video, Audio, Text ✓ ✗ ✗ ✗ ✗ AFEW [30] 1 Video, Audio ✓ ✗ ✗ ✗ ✗ AM-FED [93] 1 Video ✓ ✗ ✗ ✗ ✗ AFEW-VA [31] 1 Video, Audio ✓ ✗ ✗ ✗ ✗ LIRIS-ACCEDE [9] 1 Video, Text ✓ ✗ ✗ ✗ ✗ EMILYA [36] 1 Video, Text ✓ ✗ ✗ ✗ ✗ SEWA [55] 1 Video, Audio ✓ ✗ ✗ ✗ ✗ CMU-MOSEI [155] 2 Video, Audio, Text ✓ ✗ ✗ ✗ ✗ iMiGUE [89] 1 Vi || [datasets @ p.p22] A V T MER2023 MER2024 MELD IEMOCAP CMU-MOSI CMU-MOSEI HIT(↑) HIT(↑) HIT(↑) HIT(↑) WAF(↑) ACC(↑) WAF(↑) ACC(↑) Otter [58] × √ √ 16.41 14.65 22.57 29.08 52.89 54.27 50.44 50.77 OneLLM [42] √ × √ 25.52 17.21 28.32 33.44 64.01 64.48 54.09 54.18 Video-LLaVA [79] × √ √ 36.93 30.25 30.73 38.95 56.37 57.62 61.64 64.20 SECap [144] √ × √ 40.95 52.46 25.56 36.92 55.76 56.71 54.18 53.85 PandaGPT [118] √ × √ 3",,,,,,,
8,b19445c894634e1fbb2c61e3b6fd51a2a7fd47ae,Multimodal Spatial Reasoning in the Large Model Era: A Survey and Benchmarks,2025,file:///D:/Downloads/researchgpt-pipeline-claude-code-verification/researchgpt-pipeline-claude-code-verification/data_50/pdfs/b19445c894634e1fbb2c61e3b6fd51a2a7fd47ae.pdf,"As a comprehensive survey and benchmarking paper, the authors conduct a systematic literature review and meta-analysis of recent advancements in multimodal spatial reasoning. They construct a multi-dimensional taxonomy classifying spatial reasoning into distinct types, evaluation protocols, and methodological paradigms (including prompt engineering, tool-usage, reinforcement learning, and alignment). The paper compares existing approaches across several dimensions: 3D grounding techniques, diverse 3D representations (e.g., point clouds, voxels, multi-view images), and 3D-enhanced Vision-Language-Action (VLA) models. Finally, they analyze multi-task pre-training and co-training strategies to map out the current state-of-the-art and establish a roadmap for future research.",,,,"The paper claims to provide the first comprehensive, multi-dimensional survey and taxonomy specifically dedicated to multimodal spatial reasoning in the large model era, bridging the gap between 2D vision-language tasks, 3D spatial grounding, and embodied Vision-Language-Action (VLA) models.","As a survey paper, it does not introduce a novel model architecture or a new empirical dataset of its own, relying instead on the categorization and synthesis of existing literature. Additionally, the rapid pace of MLLM development means some very recent proprietary or open-source models and benchmarks might not be fully captured, and the heterogeneous nature of existing 3D and VLA benchmarks makes direct quantitative meta-analysis challenging.",p5,[metrics @ p.p5] Spatial-MM [7] Visual Uses bounding boxes or scene graphs to enhance spatial reasoning accuracy.,,,,,,,
9,d4f5c6b4ffc60ae04289a40fb0dcce136a122511,"Multi-Step Reasoning with Large Language Models, a Survey",2024,file:///D:/Downloads/researchgpt-pipeline-claude-code-verification/researchgpt-pipeline-claude-code-verification/data_50/pdfs/d4f5c6b4ffc60ae04289a40fb0dcce136a122511.pdf,"As a survey paper, the authors systematically review and categorize multi-step reasoning literature for LLMs. They introduce a taxonomy structured around three core dimensions: Generation (how reasoning steps are produced), Evaluation (how intermediate steps are assessed, such as self-verification), and Control (how the reasoning path is guided). The paper analyzes experimental setups from cited works, including evaluations on GPT-3 and Instruct-GPT. It also examines how these reasoning methods are applied to diverse domains, ranging from question answering to robotic task planning.",101 real-world robotic kitchen tasks (Say-Can evaluation); Table top rearrangement tasks,,,"The paper presents a comprehensive taxonomy categorizing multi-step reasoning approaches into Generation, Evaluation, and Control, offering a unified perspective on how inference-time techniques can improve reasoning without parameter fine-tuning.","The survey notes that results vary strongly both between different reasoning approaches and within a single approach across different benchmarks, indicating a lack of consistency and standardization in evaluation. Additionally, the analysis is limited by the rapid evolution of the LLM landscape and the dependency on proprietary models like the GPT family, making direct, controlled comparisons difficult.","p5, p9, p16",[datasets @ p.p16] Say-can achieves a 31% success rate on 101 real-world robotic kitchen tasks. || [datasets @ p.p16] table top rearrangement tasks and 60% on the kitchen environment. || [metrics @ p.p16] Say-can achieves a 31% success rate on 101 real-world robotic kitchen tasks. || [metrics @ p.p5] Accuracy of GPT-3 and Chain-of-thought on popular Math Word Problems benchmarks [173],,,,,,,
10,3e95793c68c22a7b891973588cf66ce61c503e30,Dipper: Diversity in Prompts for Producing Large Language Model Ensembles in Reasoning tasks,2024,file:///D:/Downloads/researchgpt-pipeline-claude-code-verification/researchgpt-pipeline-claude-code-verification/data_50/pdfs/3e95793c68c22a7b891973588cf66ce61c503e30.pdf,"The Dipper framework consists of three main phases. First, it establishes a base of 7 manually curated reasoning prompts inspired by existing literature. Second, it applies a meta-prompt template to automatically expand these 7 base prompts into a larger candidate pool of 200 diverse reasoning prompts. Third, it evaluates these candidates and employs a novel diversity score ($V$) to select a subset of prompts that balance individual prompt strength with collective diversity. The performance of these diverse prompt ensembles is evaluated using several models, including Qwen2-MATH-1.5B, LLaMA-3-2B, Qwen3-0.6B, Qwen3-1.7B, and LLaMA-3.1-8B, comparing Dipper against alternative ensembling baselines.",,,,"The paper claims novelty in the introduction of 'Dipper', a systematic framework that uses a formal prompt diversity score ($V$) to generate, evaluate, and select diverse prompt ensembles specifically optimized for LLM reasoning tasks.","The authors do not explicitly list limitations in the provided text, but evident limitations include the computational overhead associated with running and ensembling up to 200 candidate prompts, potential sensitivity of the diversity score $V$ to different model architectures, and the reliance on an initial set of 7 manually curated seed prompts.",p13,[metrics @ p.p13] Accuracy,,,,,,,
